MARKET,ITEMCODE,INAME,IMENUCAT,PRODUCTCAT,PRODUCTFAM
MCDAU,121,BIG BREAKFAST,Bkfast Entrée,APMEA CORE,BIG BREAKFAST
MCDCN,6600,EVB-Big Breakfast+L.Corn,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDCN,6670,EVB-Big Breakfast,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDJP,99844090,Other CPN - ALC Set - Big Breakfast,Breakfast Entree,APMEA CORE,BIG BREAKFAST
MCDHK,5000,Deluxe Breakfast,Breakfast Entrée,APMEA CORE,BIG BREAKFAST
MCDHK,6421,Deluxe Breakfast Meal,EVB,APMEA CORE,BIG BREAKFAST
MCDKR,1962,Big Breakfast ALC,Bkfast Entrée,APMEA CORE,BIG BREAKFAST
MCDKR,1963,Big Breakfast - EVB,Bkfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,1657,Big Breakfast Rice (2-pc VM) (MDS),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7245,Big Breakfast McMuffin Bkfast EVM,3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7212,Big Breakfast Rice (2-pc VM) - Old,2-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7213,Big Breakfast McMuffin (2-pc VM) - Old,2-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,-1055,Big Breakfast Rice,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,-1054,Big Breakfast,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,-7287,Big Breakfast (2-pc VM),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,-7255,Big Breakfast McMuffin Bkfast EVM,3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDID,-6303,Big Breakfast + Coffee/Tea,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDID,-6302,Big Breakfast,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,7288,Big Breakfast Rice (2-pc VM),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDJP,7004090,BVM - S - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7004092,BVM - S - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7044090,Other CPN - BVM - S - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7044092,Other CPN - BVM - S - Big Breakfast (Muffin) (Navy),Pending,APMEA CORE,BIG BREAKFAST
MCDJP,7104090,BVM - M - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7104092,BVM - M - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7204090,BVM - Sp - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7204092,BVM - Sp - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7244090,Other CPN - BVM - Sp - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7244092,Other CPN - BVM - Sp - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDSG,-708247,Big Breakfast Bkfst EVM - Value,Value Breakfast,APMEA CORE,BIG BREAKFAST
MCDSG,-708210,Big Breakfast Bkfst EVM,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDSG,-707100,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDNZ,127,KIWI BIGBREAKFAST,Breakfast Entrée,APMEA CORE,BIG BREAKFAST
MCDTW,-5925,EBM-Big Breakfast,Bkfast EVM,APMEA CORE,BIG BREAKFAST
MCDTW,-2060,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDJP,16604090,Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16604092,Combi - Breakfast - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16614005,Kasazu CPN - Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16624005,MSM CPN - Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16634005,Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDCN,5010,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDTW,35669,CP $49 Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDAU,-6442,NVL BIG MAC VM - MED - AGG,Value Lunch,GLOBAL CORE,BIG MAC
MCDAU,-2534,LRG BIG MAC VM,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,-2533,MED BIG MAC VM,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,-2532,SML BIG MAC VM,Small EVM,GLOBAL CORE,BIG MAC
MCDCN,6337,CM-Bigmac+SCFB+2L.Coke,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,6481,July-Tao Big Mac,Discount Combo,GLOBAL CORE,BIG MAC
MCDJP,99841213,Other CPN - ALC Set - Big Mac (Navy),Entree,GLOBAL CORE,BIG MAC
MCDJP,99841215,Other CPN - ALC Set - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDAU,2531,BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,3210,BIGMAC LUNCH DEAL,Value Lunch,GLOBAL CORE,BIG MAC
MCDAU,3411,BIG MAC SLD VM - SML,Small EVM,GLOBAL CORE,BIG MAC
MCDAU,3412,BIG MAC SLD VM - MED,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,3413,BIG MAC SLD VM - LGE,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,3537,BIG MAC VALUE MEAL,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,3701,$2 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDCN,8726,Bigmac+5Ngget+L.Fries,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,8787,Bigmac+5Ngget+L.Fries+L.Coke+Pie,Discount Combo,GLOBAL CORE,BIG MAC
MCDHK,-9608,EVML BIGMAC NP6,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,1100,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDJP,99901213,Misc Set - Big Mac (Navy),Entree,GLOBAL CORE,BIG MAC
MCDAU,6452,NVL BIG MAC VM - MED SLD,Value Lunch,GLOBAL CORE,BIG MAC
MCDHK,6006,$20 BIGMAC Value Dinner EVM,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6106,BIG MAC EVM,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6175,Big Mac EVM+,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6361,$17 Big Mac +,Entrees,GLOBAL CORE,BIG MAC
MCDAU,8208,$4.75 LRG BIG MAC VM,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,8261,2 BIG MAC'S LSM,Combo,GLOBAL CORE,BIG MAC
MCDAU,8294,2 BIG MAC's $5.95,Combo,GLOBAL CORE,BIG MAC
MCDAU,8299,$1 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,8300,2 BIG MAC's $4.50,Combo,GLOBAL CORE,BIG MAC
MCDAU,8303,2 BIG MAC's $4,Combo,GLOBAL CORE,BIG MAC
MCDAU,8304,2 BIG MAC'S $4.95,Combo,GLOBAL CORE,BIG MAC
MCDAU,8307,2 BIG MAC'S $5,Combo,GLOBAL CORE,BIG MAC
MCDAU,8310,$3 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,8324,Big Mac VM LSM Sml,Small EVM,GLOBAL CORE,BIG MAC
MCDAU,8325,MED BIG MAC VM LSM,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,8340,2 MED BIGMAC LSM NP6,Medium EVM,GLOBAL CORE,BIG MAC
MCDHK,9616,EVML BIGMAC (ORG) NP6,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDJP,-1215,Big Mac ALC,Entree,GLOBAL CORE,BIG MAC
MCDJP,1213,Big Mac (Navy) ALC,Entree,GLOBAL CORE,BIG MAC
MCDKR,-1301,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDKR,-1101,Big Mac - Reg EVM,Regular EVM - Rest-Of-Day,GLOBAL CORE,BIG MAC
MCDKR,1001,Big Mac - Lg EVM,Large EVM - Rest-Of-Day,GLOBAL CORE,BIG MAC
MCDKR,2101,Lunch - Big Mac - Lg EVM,Large EVM - Lunch,GLOBAL CORE,BIG MAC
MCDKR,2601,Lunch - Big Mac - Reg EVM,Regular EVM - Lunch,GLOBAL CORE,BIG MAC
MCDPH,8561,Mini Food Strap - BigMac,LSM,GLOBAL CORE,BIG MAC
MCDPH,-7050,Big Mac Sml EVM,Reg EVM,GLOBAL CORE,BIG MAC
